,Date,NIFTY FMCG
1200,2012-11-02,14497.6
1201,2012-11-05,14544.4
1202,2012-11-06,14663.85
1203,2012-11-07,14703.6
1204,2012-11-08,14685.7
1205,2012-11-09,14750.0
1206,2012-11-12,14731.75
1207,2012-11-13,14896.55
1208,2012-11-15,14877.05
1209,2012-11-16,14736.45
1210,2012-11-19,14493.4
1211,2012-11-20,14702.15
1212,2012-11-21,14611.8
1213,2012-11-22,14857.15
1214,2012-11-23,14915.95
1215,2012-11-26,14946.9
1216,2012-11-27,15092.25
1217,2012-11-29,15404.25
1218,2012-11-30,15533.15
1219,2012-12-03,15537.95
1220,2012-12-04,15472.75
1221,2012-12-05,15517.9
1222,2012-12-06,15572.3
1223,2012-12-07,15608.25
1224,2012-12-10,15587.25
1225,2012-12-11,15675.25
1226,2012-12-12,15802.25
1227,2012-12-13,15744.75
1228,2012-12-14,15282.9
1229,2012-12-17,15308.15
1230,2012-12-18,15304.2
1231,2012-12-19,15316.85
1232,2012-12-20,15255.85
1233,2012-12-21,15231.15
1234,2012-12-24,15264.95
1235,2012-12-26,15221.8
1236,2012-12-27,15370.15
1237,2012-12-28,15152.55
1238,2012-12-31,15200.85
1239,2013-01-01,15194.55
1240,2013-01-02,15283.1
1241,2013-01-03,15253.25
1242,2013-01-04,15216.4
1243,2013-01-07,15182.55
1244,2013-01-08,14956.95
1245,2013-01-09,15124.35
1246,2013-01-10,14938.15
1247,2013-01-11,14914.35
1248,2013-01-14,14597.1
1249,2013-01-15,14745.6
1250,2013-01-16,14880.4
1251,2013-01-17,14778.65
1252,2013-01-18,14853.35
1253,2013-01-21,14860.85
1254,2013-01-22,14989.05
1255,2013-01-23,14654.75
1256,2013-01-24,14785.55
1257,2013-01-25,14952.4
1258,2013-01-28,15061.05
1259,2013-01-29,15023.5
1260,2013-01-30,15161.8
1261,2013-01-31,15194.35
1262,2013-02-01,15262.35
1263,2013-02-04,15309.25
1264,2013-02-05,15181.25
1265,2013-02-06,15100.8
1266,2013-02-07,15070.35
1267,2013-02-08,15056.05
1268,2013-02-11,15037.4
1269,2013-02-12,14915.55
1270,2013-02-13,15024.7
1271,2013-02-14,14907.55
1272,2013-02-15,14936.6
1273,2013-02-18,14975.6
1274,2013-02-19,15037.05
1275,2013-02-20,15189.85
1276,2013-02-21,15068.9
1277,2013-02-22,14859.25
1278,2013-02-25,14694.15
1279,2013-02-26,14643.65
1280,2013-02-27,14590.9
1281,2013-02-28,14711.0
1282,2013-03-01,14620.9
1283,2013-03-04,14618.4
1284,2013-03-05,14624.15
1285,2013-03-06,14796.95
1286,2013-03-07,14481.45
1287,2013-03-08,14712.8
1288,2013-03-11,14900.8
1289,2013-03-12,14902.2
1290,2013-03-13,14954.75
1291,2013-03-14,15048.7
1292,2013-03-15,15131.45
1293,2013-03-18,15077.0
1294,2013-03-19,15342.75
1295,2013-03-20,15163.85
1296,2013-03-21,15259.75
1297,2013-03-22,15188.7
1298,2013-03-25,15165.15
1299,2013-03-26,15078.05
1300,2013-03-28,15269.35
1301,2013-04-01,15310.3
1302,2013-04-02,15297.15
1303,2013-04-03,15282.05
1304,2013-04-04,15239.2
1305,2013-04-05,15042.1
1306,2013-04-08,14852.35
1307,2013-04-09,14980.8
1308,2013-04-10,14839.35
1309,2013-04-11,14752.2
1310,2013-04-12,14732.85
1311,2013-04-15,14968.5
1312,2013-04-16,15140.3
1313,2013-04-17,15435.05
1314,2013-04-18,15593.45
1315,2013-04-22,15680.2
1316,2013-04-23,15799.85
1317,2013-04-25,15731.55
1318,2013-04-26,15779.85
1319,2013-04-29,15724.7
1320,2013-04-30,16458.45
1321,2013-05-02,16769.4
1322,2013-05-03,16967.3
1323,2013-05-06,16868.15
1324,2013-05-07,16792.3
1325,2013-05-08,17158.6
1326,2013-05-09,17384.25
1327,2013-05-10,17322.4
1328,2013-05-11,17596.4
1329,2013-05-13,17659.2
1330,2013-05-14,17216.35
1331,2013-05-15,17201.6
1332,2013-05-16,17316.05
1333,2013-05-17,17275.1
1334,2013-05-20,17240.4
1335,2013-05-21,17136.8
1336,2013-05-22,17015.7
1337,2013-05-23,17137.7
1338,2013-05-24,17138.05
1339,2013-05-27,17126.6
1340,2013-05-28,17265.95
1341,2013-05-29,17460.25
1342,2013-05-30,17524.45
1343,2013-05-31,17792.4
1344,2013-06-03,17512.4
1345,2013-06-04,17405.85
1346,2013-06-05,17419.2
1347,2013-06-06,17366.35
1348,2013-06-07,17340.05
1349,2013-06-10,17341.05
1350,2013-06-11,17294.2
1351,2013-06-12,17214.0
1352,2013-06-13,16948.7
1353,2013-06-14,16965.2
1354,2013-06-17,17081.9
1355,2013-06-18,17091.4
1356,2013-06-19,17044.85
1357,2013-06-20,16963.4
1358,2013-06-21,16716.2
1359,2013-06-24,16628.55
1360,2013-06-25,16392.25
1361,2013-06-26,16497.4
1362,2013-06-27,16689.85
1363,2013-06-28,16613.5
1364,2013-07-01,16715.95
1365,2013-07-02,16949.45
1366,2013-07-03,16870.65
1367,2013-07-04,17022.25
1368,2013-07-05,17737.55
1369,2013-07-08,17573.1
1370,2013-07-09,17729.35
1371,2013-07-10,17806.7
1372,2013-07-11,17888.0
1373,2013-07-12,17964.1
1374,2013-07-15,17918.45
1375,2013-07-16,17894.75
1376,2013-07-17,18396.1
1377,2013-07-18,19008.8
1378,2013-07-19,19179.85
1379,2013-07-22,19032.5
1380,2013-07-23,19174.05
1381,2013-07-24,19381.25
1382,2013-07-25,19277.9
1383,2013-07-26,18717.65
1384,2013-07-29,18621.25
1385,2013-07-30,18173.7
1386,2013-07-31,17848.5
1387,2013-08-01,17502.25
1388,2013-08-02,17492.45
1389,2013-08-05,17191.65
1390,2013-08-06,17235.85
1391,2013-08-07,16979.9
1392,2013-08-08,16688.8
1393,2013-08-12,16953.0
1394,2013-08-13,17229.4
1395,2013-08-14,17294.95
1396,2013-08-16,17305.2
1397,2013-08-19,16675.4
1398,2013-08-20,16206.1
1399,2013-08-21,16533.7
1400,2013-08-22,15779.1
1401,2013-08-23,16115.4
1402,2013-08-26,16262.6
1403,2013-08-27,16140.5
1404,2013-08-28,15660.85
1405,2013-08-29,15767.3
1406,2013-08-30,16072.1
1407,2013-09-02,16343.45
1408,2013-09-03,16883.45
1409,2013-09-04,16185.15
1410,2013-09-05,16410.5
1411,2013-09-06,16646.8
1412,2013-09-10,16845.05
1413,2013-09-11,17566.6
1414,2013-09-12,17452.0
1415,2013-09-13,17544.05
1416,2013-09-16,17478.55
1417,2013-09-17,17292.75
1418,2013-09-18,17556.8
1419,2013-09-19,18013.15
1420,2013-09-20,18274.15
1421,2013-09-23,17966.7
1422,2013-09-24,17803.6
1423,2013-09-25,17928.9
1424,2013-09-26,17695.25
1425,2013-09-27,17898.15
1426,2013-09-30,17788.9
1427,2013-10-01,17656.55
1428,2013-10-03,17790.75
1429,2013-10-04,17544.15
1430,2013-10-07,17549.0
1431,2013-10-08,17685.65
1432,2013-10-09,17763.5
1433,2013-10-10,17804.5
1434,2013-10-11,17897.7
1435,2013-10-14,17723.85
1436,2013-10-15,17549.45
1437,2013-10-17,17582.6
1438,2013-10-18,17828.3
1439,2013-10-21,18099.6
1440,2013-10-22,17749.25
1441,2013-10-23,17819.4
1442,2013-10-24,17881.35
1443,2013-10-25,17942.65
1444,2013-10-28,17695.2
1445,2013-10-29,17244.8
1446,2013-10-30,17435.15
1447,2013-10-31,17498.5
1448,2013-11-01,17529.6
1449,2013-11-03,17500.45
1450,2013-11-05,17402.65
1451,2013-11-06,17045.2
1452,2013-11-07,16968.05
1453,2013-11-08,16913.25
1454,2013-11-11,16803.65
1455,2013-11-12,16685.95
1456,2013-11-13,16727.7
1457,2013-11-14,16507.6
1458,2013-11-18,16668.7
1459,2013-11-19,17074.65
1460,2013-11-20,16976.9
1461,2013-11-21,16764.3
1462,2013-11-22,16590.9
1463,2013-11-25,16541.9
1464,2013-11-26,16745.45
1465,2013-11-27,16577.4
1466,2013-11-28,16808.25
1467,2013-11-29,16766.05
1468,2013-12-02,17036.35
1469,2013-12-03,17029.95
1470,2013-12-04,16874.95
1471,2013-12-05,16799.2
1472,2013-12-06,16505.25
1473,2013-12-09,16763.45
1474,2013-12-10,16568.75
1475,2013-12-11,16716.6
1476,2013-12-12,16818.9
1477,2013-12-13,16656.05
1478,2013-12-16,16600.75
1479,2013-12-17,16582.2
1480,2013-12-18,16611.9
1481,2013-12-19,16740.45
1482,2013-12-20,16638.3
1483,2013-12-23,16677.4
1484,2013-12-24,16841.6
1485,2013-12-26,16829.9
1486,2013-12-27,16894.35
1487,2013-12-30,16977.25
1488,2013-12-31,17066.95
1489,2014-01-01,17054.6
1490,2014-01-02,17036.6
1491,2014-01-03,16712.5
1492,2014-01-06,16805.75
1493,2014-01-07,16847.45
1494,2014-01-08,16835.3
1495,2014-01-09,16834.6
1496,2014-01-10,16818.85
1497,2014-01-13,17003.85
1498,2014-01-14,17005.35
1499,2014-01-15,16969.3
1500,2014-01-16,17086.55
1501,2014-01-17,16958.05
1502,2014-01-20,16923.3
1503,2014-01-21,17135.55
1504,2014-01-22,17078.0
1505,2014-01-23,17036.5
1506,2014-01-24,17056.15
1507,2014-01-27,16731.05
1508,2014-01-28,16841.85
1509,2014-01-29,16936.95
1510,2014-01-30,16740.0
1511,2014-01-31,16784.6
1512,2014-02-03,16793.2
1513,2014-02-04,16633.25
1514,2014-02-05,16770.3
1515,2014-02-06,16727.6
1516,2014-02-07,17019.1
1517,2014-02-10,16824.1
1518,2014-02-11,16803.05
1519,2014-02-12,16839.5
1520,2014-02-13,16685.8
1521,2014-02-14,16525.05
1522,2014-02-17,16603.2
1523,2014-02-18,16561.0
1524,2014-02-19,16543.05
1525,2014-02-20,16448.45
1526,2014-02-21,16414.4
1527,2014-02-24,16510.6
1528,2014-02-25,16609.5
1529,2014-02-26,16714.45
1530,2014-02-28,16780.1
1531,2014-03-03,16859.8
1532,2014-03-04,16880.25
1533,2014-03-05,17009.4
1534,2014-03-06,17039.5
1535,2014-03-07,17026.2
1536,2014-03-10,17130.35
1537,2014-03-11,17120.8
1538,2014-03-12,17094.0
1539,2014-03-13,17321.55
1540,2014-03-14,17305.5
1541,2014-03-18,17520.7
1542,2014-03-19,17780.35
1543,2014-03-20,17913.8
1544,2014-03-21,17958.5
1545,2014-03-22,17984.35
1546,2014-03-24,18000.4
1547,2014-03-25,18041.15
1548,2014-03-26,18224.6
1549,2014-03-27,18093.15
1550,2014-03-28,18250.25
1551,2014-03-31,18230.35
1552,2014-04-01,18119.2
1553,2014-04-02,18153.6
1554,2014-04-03,17816.95
1555,2014-04-04,17940.35
1556,2014-04-07,17824.55
1557,2014-04-09,17848.15
1558,2014-04-10,17969.95
1559,2014-04-11,17809.25
1560,2014-04-15,17898.25
1561,2014-04-16,17874.4
1562,2014-04-17,18023.25
1563,2014-04-21,18214.25
1564,2014-04-22,18180.5
1565,2014-04-23,18151.0
1566,2014-04-25,18186.95
1567,2014-04-28,17842.5
1568,2014-04-29,17678.2
1569,2014-04-30,17565.15
1570,2014-05-02,17611.05
1571,2014-05-05,17538.5
1572,2014-05-06,17685.85
1573,2014-05-07,17705.5
1574,2014-05-08,17655.65
1575,2014-05-09,17511.3
1576,2014-05-12,17626.85
1577,2014-05-13,18158.75
1578,2014-05-14,18288.9
1579,2014-05-15,18433.5
1580,2014-05-16,18629.5
1581,2014-05-19,18306.0
1582,2014-05-20,17577.65
1583,2014-05-21,17533.5
1584,2014-05-22,17723.15
1585,2014-05-23,17941.65
1586,2014-05-26,17879.95
1587,2014-05-27,17748.3
1588,2014-05-28,17750.3
1589,2014-05-29,17759.9
1590,2014-05-30,17699.1
1591,2014-06-02,17872.0
1592,2014-06-03,17600.95
1593,2014-06-04,17580.3
1594,2014-06-05,17553.95
1595,2014-06-06,17887.4
1596,2014-06-09,18098.25
1597,2014-06-10,18050.2
1598,2014-06-11,18110.05
1599,2014-06-12,17913.5
1600,2014-06-13,18053.5
1601,2014-06-16,17929.05
1602,2014-06-17,17931.2
1603,2014-06-18,17900.2
1604,2014-06-19,17833.35
1605,2014-06-20,17811.5
1606,2014-06-23,17824.8
1607,2014-06-24,17103.45
1608,2014-06-25,17254.65
1609,2014-06-26,17232.65
1610,2014-06-27,17204.7
1611,2014-06-30,17305.15
1612,2014-07-01,17517.55
1613,2014-07-02,17569.6
1614,2014-07-03,17740.8
1615,2014-07-04,17806.0
1616,2014-07-07,17869.3
1617,2014-07-08,17883.6
1618,2014-07-09,17849.35
1619,2014-07-10,17921.35
1620,2014-07-11,18082.35
1621,2014-07-14,18160.5
1622,2014-07-15,18051.8
1623,2014-07-16,17980.1
1624,2014-07-17,18046.8
1625,2014-07-18,18085.75
1626,2014-07-21,18151.85
1627,2014-07-22,18344.75
1628,2014-07-23,18493.4
1629,2014-07-24,18498.35
1630,2014-07-25,18625.9
1631,2014-07-28,18652.05
1632,2014-07-30,18896.25
1633,2014-07-31,18828.5
1634,2014-08-01,18724.5
1635,2014-08-04,18721.05
1636,2014-08-05,18816.2
1637,2014-08-06,18773.4
1638,2014-08-07,18576.75
1639,2014-08-08,18450.7
1640,2014-08-11,18620.55
1641,2014-08-12,18604.45
1642,2014-08-13,18598.2
1643,2014-08-14,18934.5
1644,2014-08-18,18934.35
1645,2014-08-19,18889.2
1646,2014-08-20,18999.05
1647,2014-08-21,18748.65
1648,2014-08-22,18835.1
1649,2014-08-25,18801.3
1650,2014-08-26,18932.15
1651,2014-08-27,19170.4
1652,2014-08-28,19192.55
1653,2014-09-01,19399.25
1654,2014-09-02,19177.8
1655,2014-09-03,19327.6
1656,2014-09-04,19166.75
1657,2014-09-05,19207.1
1658,2014-09-08,19250.35
1659,2014-09-09,19269.85
1660,2014-09-10,19478.1
1661,2014-09-11,19244.5
1662,2014-09-12,19316.25
1663,2014-09-15,19450.75
1664,2014-09-16,19348.15
1665,2014-09-17,19416.85
1666,2014-09-18,19429.3
1667,2014-09-19,19554.75
1668,2014-09-22,19477.05
1669,2014-09-23,19892.25
1670,2014-09-24,19839.85
1671,2014-09-25,20217.55
1672,2014-09-26,19974.65
1673,2014-09-29,19850.15
1674,2014-09-30,19626.65
1675,2014-10-01,19853.0
1676,2014-10-07,19577.55
1677,2014-10-08,19531.25
1678,2014-10-09,19587.0
1679,2014-10-10,19544.75
1680,2014-10-13,19046.55
1681,2014-10-14,18947.8
1682,2014-10-16,18760.6
1683,2014-10-17,18934.15
1684,2014-10-20,19109.4
1685,2014-10-21,19047.85
1686,2014-10-22,19184.7
1687,2014-10-23,19183.45
1688,2014-10-27,19290.45
1689,2014-10-28,18984.05
1690,2014-10-29,19089.5
1691,2014-10-30,19152.25
1692,2014-10-31,19372.7
1693,2014-11-03,19450.7
1694,2014-11-05,19406.8
1695,2014-11-07,19518.55
1696,2014-11-10,19527.5
1697,2014-11-11,20085.5
1698,2014-11-12,19931.0
1699,2014-11-13,20190.5
1700,2014-11-14,20121.4
1701,2014-11-17,20145.6
1702,2014-11-18,20141.95
1703,2014-11-19,20155.55
1704,2014-11-20,20140.95
1705,2014-11-21,20171.5
1706,2014-11-24,20181.1
1707,2014-11-25,20268.25
1708,2014-11-26,19786.25
1709,2014-11-27,19917.45
1710,2014-11-28,20029.05
1711,2014-12-01,19993.1
1712,2014-12-02,20226.0
1713,2014-12-03,20327.6
1714,2014-12-04,20618.4
1715,2014-12-05,20964.85
1716,2014-12-08,21289.25
1717,2014-12-09,21389.4
1718,2014-12-10,21226.95
1719,2014-12-11,21128.2
1720,2014-12-12,21092.35
1721,2014-12-15,21000.4
1722,2014-12-16,20723.6
1723,2014-12-17,20077.95
1724,2014-12-18,20236.3
1725,2014-12-19,20271.25
1726,2014-12-22,19994.15
1727,2014-12-23,20272.5
1728,2014-12-24,20301.25
1729,2014-12-26,20129.75
1730,2014-12-29,19943.75
1731,2014-12-30,20107.65
1732,2014-12-31,20083.65
1733,2015-01-01,20085.95
1734,2015-01-02,20065.8
1735,2015-01-05,20176.25
1736,2015-01-06,20169.7
1737,2015-01-07,19784.05
1738,2015-01-08,19947.85
1739,2015-01-09,20295.1
1740,2015-01-12,20332.6
1741,2015-01-13,20563.45
1742,2015-01-14,20628.45
1743,2015-01-15,20733.1
1744,2015-01-16,20837.15
1745,2015-01-19,21009.6
1746,2015-01-20,20749.1
1747,2015-01-21,21176.3
1748,2015-01-22,20696.5
1749,2015-01-23,20801.1
1750,2015-01-27,20767.35
1751,2015-01-28,20963.0
1752,2015-01-29,21035.9
1753,2015-01-30,21303.1
1754,2015-02-02,21095.35
1755,2015-02-03,20886.0
1756,2015-02-04,21132.35
1757,2015-02-05,20976.8
1758,2015-02-06,21011.3
1759,2015-02-09,21187.55
1760,2015-02-10,20975.9
1761,2015-02-11,21143.3
1762,2015-02-12,21331.75
1763,2015-02-13,21284.4
1764,2015-02-16,21606.7
1765,2015-02-18,21846.45
1766,2015-02-19,22220.2
1767,2015-02-20,21937.85
1768,2015-02-23,22150.85
1769,2015-02-24,21982.8
1770,2015-02-25,22333.8
1771,2015-02-26,22260.75
1772,2015-02-27,22057.8
1773,2015-02-28,22102.0
1774,2015-03-02,21025.15
1775,2015-03-03,20689.1
1776,2015-03-04,20814.3
1777,2015-03-05,20819.7
1778,2015-03-09,20893.7
1779,2015-03-10,20968.25
1780,2015-03-11,20848.3
1781,2015-03-12,20817.8
1782,2015-03-13,21190.05
1783,2015-03-16,20733.65
1784,2015-03-17,20611.7
1785,2015-03-18,20777.4
1786,2015-03-19,20719.35
1787,2015-03-20,20453.75
1788,2015-03-23,20007.65
1789,2015-03-24,19973.55
1790,2015-03-25,20016.25
1791,2015-03-26,19908.2
1792,2015-03-27,19839.45
1793,2015-03-30,19642.65
1794,2015-03-31,19937.1
1795,2015-04-01,19887.5
1796,2015-04-06,20062.95
1797,2015-04-07,20647.5
1798,2015-04-08,20813.6
1799,2015-04-09,21133.8
1800,2015-04-10,21137.95
1801,2015-04-13,21238.65
1802,2015-04-15,21533.85
1803,2015-04-16,21406.95
1804,2015-04-17,21330.45
1805,2015-04-20,21298.65
1806,2015-04-21,20665.6
1807,2015-04-22,20441.85
1808,2015-04-23,20575.4
1809,2015-04-24,20544.8
1810,2015-04-27,20617.2
1811,2015-04-28,20212.65
1812,2015-04-29,19979.7
1813,2015-04-30,19729.8
1814,2015-05-04,19606.65
1815,2015-05-05,19861.7
1816,2015-05-06,19960.2
1817,2015-05-07,19492.0
1818,2015-05-08,19708.1
1819,2015-05-11,19967.5
1820,2015-05-12,19845.1
1821,2015-05-13,19737.85
1822,2015-05-14,19806.75
1823,2015-05-15,19890.15
1824,2015-05-18,20044.0
1825,2015-05-19,20262.6
1826,2015-05-20,20265.55
1827,2015-05-21,20302.0
1828,2015-05-22,20193.15
1829,2015-05-25,19964.8
1830,2015-05-26,19826.95
1831,2015-05-27,19660.25
1832,2015-05-28,19831.35
1833,2015-05-29,19901.75
1834,2015-06-01,20033.8
1835,2015-06-02,20304.0
1836,2015-06-03,19584.3
1837,2015-06-04,19177.65
1838,2015-06-05,19070.5
1839,2015-06-08,19364.85
1840,2015-06-09,18979.65
1841,2015-06-10,18994.5
1842,2015-06-11,19073.3
1843,2015-06-12,18813.15
1844,2015-06-15,18833.05
1845,2015-06-16,18932.85
1846,2015-06-17,18978.65
1847,2015-06-18,19262.35
1848,2015-06-19,19258.3
1849,2015-06-22,19423.7
1850,2015-06-23,19686.55
1851,2015-06-24,19777.3
1852,2015-06-25,19726.8
1853,2015-06-26,19765.35
1854,2015-06-29,19470.15
1855,2015-06-30,19806.55
1856,2015-07-01,20170.7
1857,2015-07-02,20147.45
1858,2015-07-03,20132.25
1859,2015-07-06,20085.05
1860,2015-07-07,20381.6
1861,2015-07-08,20251.05
1862,2015-07-09,20177.4
1863,2015-07-10,20012.5
1864,2015-07-13,19985.65
1865,2015-07-14,20134.3
1866,2015-07-15,20180.6
1867,2015-07-16,20298.05
1868,2015-07-17,20491.85
1869,2015-07-20,20584.65
1870,2015-07-21,20528.9
1871,2015-07-22,20108.15
1872,2015-07-23,20340.1
1873,2015-07-24,20296.7
1874,2015-07-27,20208.7
1875,2015-07-28,20152.25
1876,2015-07-29,20187.05
1877,2015-07-30,20045.05
1878,2015-07-31,20620.95
1879,2015-08-03,20942.8
1880,2015-08-04,21014.45
1881,2015-08-05,20987.7
1882,2015-08-06,21128.55
1883,2015-08-07,20880.85
1884,2015-08-10,20936.55
1885,2015-08-11,20809.15
1886,2015-08-12,20662.5
1887,2015-08-13,20392.75
1888,2015-08-14,20336.7
1889,2015-08-17,20411.2
1890,2015-08-18,20374.05
1891,2015-08-19,20261.75
1892,2015-08-20,20350.9
1893,2015-08-21,20565.05
1894,2015-08-24,20199.6
1895,2015-08-25,19902.65
1896,2015-08-26,19807.1
1897,2015-08-27,19999.3
1898,2015-08-28,20311.6
1899,2015-08-31,20141.4
1900,2015-09-01,19961.25
1901,2015-09-02,19924.6
1902,2015-09-03,19882.2
1903,2015-09-04,19886.85
1904,2015-09-07,19665.45
1905,2015-09-08,19385.75
1906,2015-09-09,19359.15
1907,2015-09-10,19166.95
1908,2015-09-11,19410.45
1909,2015-09-14,19454.8
1910,2015-09-15,19501.5
1911,2015-09-16,19786.2
1912,2015-09-18,19881.45
1913,2015-09-21,19416.25
1914,2015-09-22,19440.2
1915,2015-09-23,18995.75
1916,2015-09-24,19248.35
1917,2015-09-28,19555.2
1918,2015-09-29,19343.95
1919,2015-09-30,19636.9
1920,2015-10-01,19970.5
1921,2015-10-05,20105.0
1922,2015-10-06,20280.1
1923,2015-10-07,20661.05
1924,2015-10-08,20751.4
1925,2015-10-09,20535.4
1926,2015-10-12,20525.45
1927,2015-10-13,20358.9
1928,2015-10-14,20401.5
1929,2015-10-15,20302.6
1930,2015-10-16,20433.7
1931,2015-10-19,20436.0
1932,2015-10-20,20634.1
1933,2015-10-21,20566.85
1934,2015-10-23,20623.5
1935,2015-10-26,20875.4
1936,2015-10-27,20762.75
1937,2015-10-28,20796.7
1938,2015-10-29,20854.45
1939,2015-10-30,20696.35
1940,2015-11-02,20085.25
1941,2015-11-03,20282.2
1942,2015-11-04,20314.5
1943,2015-11-05,20224.5
1944,2015-11-06,20193.45
1945,2015-11-09,19937.05
1946,2015-11-10,20409.6
1947,2015-11-11,20335.55
1948,2015-11-13,20015.0
1949,2015-11-16,19879.65
1950,2015-11-17,20152.15
1951,2015-11-18,20537.55
1952,2015-11-19,20523.85
1953,2015-11-20,20690.85
1954,2015-11-23,20415.45
1955,2015-11-24,20244.45
1956,2015-11-26,20229.95
1957,2015-11-27,20461.2
1958,2015-11-30,20399.45
1959,2015-12-01,20404.2
1960,2015-12-02,20575.55
1961,2015-12-03,20540.9
1962,2015-12-04,20235.55
1963,2015-12-07,20080.05
1964,2015-12-08,19430.6
1965,2015-12-09,19672.65
1966,2015-12-10,19487.9
1967,2015-12-11,19635.5
1968,2015-12-14,19589.0
1969,2015-12-15,19714.0
1970,2015-12-16,19991.65
1971,2015-12-17,19775.85
1972,2015-12-18,19972.5
1973,2015-12-21,19944.15
1974,2015-12-22,20088.1
1975,2015-12-23,20008.3
1976,2015-12-24,20077.5
1977,2015-12-28,20037.85
1978,2015-12-29,20175.75
1979,2015-12-30,20114.4
1980,2015-12-31,20064.4
1981,2016-01-01,20181.5
1982,2016-01-04,20112.0
1983,2016-01-05,20087.35
1984,2016-01-06,20120.5
1985,2016-01-07,19600.45
1986,2016-01-08,19337.75
1987,2016-01-11,19203.9
1988,2016-01-12,19320.85
1989,2016-01-13,19433.8
1990,2016-01-14,19290.65
1991,2016-01-15,19397.45
1992,2016-01-18,19040.35
1993,2016-01-19,19019.2
1994,2016-01-20,18877.7
1995,2016-01-21,18880.5
1996,2016-01-22,18621.15
1997,2016-01-25,18489.1
1998,2016-01-27,18591.15
1999,2016-01-28,18574.6
2000,2016-01-29,19044.6
2001,2016-02-01,19133.1
2002,2016-02-02,19301.3
2003,2016-02-03,19069.05
2004,2016-02-04,19299.05
2005,2016-02-05,19295.45
2006,2016-02-08,19532.5
2007,2016-02-09,19086.5
2008,2016-02-10,19019.0
2009,2016-02-11,18834.45
2010,2016-02-12,18259.25
2011,2016-02-15,18515.35
2012,2016-02-16,18509.6
2013,2016-02-17,18158.2
2014,2016-02-18,18413.45
2015,2016-02-19,18613.25
2016,2016-02-22,18526.4
2017,2016-02-23,18594.45
2018,2016-02-24,18300.65
2019,2016-02-25,18020.35
2020,2016-02-26,18258.75
2021,2016-02-29,18295.4
2022,2016-03-01,18630.55
2023,2016-03-02,19455.0
2024,2016-03-03,19412.2
2025,2016-03-04,19277.45
2026,2016-03-08,19147.9
2027,2016-03-09,19085.65
2028,2016-03-10,19236.7
2029,2016-03-11,19082.2
2030,2016-03-14,19451.25
2031,2016-03-15,19551.75
2032,2016-03-16,19149.2
2033,2016-03-17,19434.05
2034,2016-03-18,19513.75
2035,2016-03-21,19593.55
2036,2016-03-22,19827.2
2037,2016-03-23,19662.45
2038,2016-03-28,19720.6
2039,2016-03-29,19392.05
2040,2016-03-30,19431.45
2041,2016-03-31,19626.0
2042,2016-04-01,19672.25
2043,2016-04-04,19727.4
2044,2016-04-05,19788.5
2045,2016-04-06,19662.8
2046,2016-04-07,19695.8
2047,2016-04-08,19388.1
2048,2016-04-11,19477.6
2049,2016-04-12,19604.75
2050,2016-04-13,19722.9
2051,2016-04-18,20172.55
2052,2016-04-20,20252.85
2053,2016-04-21,20268.55
2054,2016-04-22,19930.85
2055,2016-04-25,19711.85
2056,2016-04-26,19464.3
2057,2016-04-27,19852.5
2058,2016-04-28,20058.95
2059,2016-04-29,19693.85
2060,2016-05-02,19687.55
2061,2016-05-03,19755.75
2062,2016-05-04,19426.05
2063,2016-05-05,19317.25
2064,2016-05-06,19323.5
2065,2016-05-09,19610.5
2066,2016-05-10,19770.6
2067,2016-05-11,19637.05
2068,2016-05-12,19754.4
2069,2016-05-13,19722.6
2070,2016-05-16,19650.35
2071,2016-05-17,20032.6
2072,2016-05-18,19846.1
2073,2016-05-19,20023.9
2074,2016-05-20,19710.7
2075,2016-05-23,20312.05
2076,2016-05-24,20214.6
2077,2016-05-25,20344.5
2078,2016-05-26,20650.8
2079,2016-05-27,20934.35
2080,2016-05-30,20745.35
2081,2016-05-31,20810.45
2082,2016-06-01,20618.15
2083,2016-06-02,20847.6
2084,2016-06-03,21008.1
2085,2016-06-06,20922.3
2086,2016-06-07,20971.75
2087,2016-06-08,21250.85
2088,2016-06-09,21245.0
2089,2016-06-10,20812.1
2090,2016-06-13,20575.55
2091,2016-06-14,20674.3
2092,2016-06-15,20772.3
2093,2016-06-16,20949.6
2094,2016-06-17,20921.9
2095,2016-06-20,21004.0
2096,2016-06-21,20975.55
2097,2016-06-22,20887.85
2098,2016-06-23,20895.55
2099,2016-06-24,20682.7
2100,2016-06-27,20803.9
2101,2016-06-28,21065.0
2102,2016-06-29,21515.4
2103,2016-06-30,21519.9
2104,2016-07-01,21517.7
2105,2016-07-04,22140.75
2106,2016-07-05,21755.5
2107,2016-07-07,21750.15
2108,2016-07-08,21963.45
2109,2016-07-11,22018.75
2110,2016-07-12,22174.75
2111,2016-07-13,22005.9
2112,2016-07-14,21959.4
2113,2016-07-15,22050.15
2114,2016-07-18,22065.0
2115,2016-07-19,21919.0
2116,2016-07-20,21868.35
2117,2016-07-21,22103.0
2118,2016-07-22,22129.95
2119,2016-07-25,21994.15
2120,2016-07-26,22141.4
2121,2016-07-27,22043.0
2122,2016-07-28,22008.6
2123,2016-07-29,22279.6
2124,2016-08-01,22267.15
2125,2016-08-02,22193.95
2126,2016-08-03,22639.95
2127,2016-08-04,22225.35
2128,2016-08-05,22106.3
2129,2016-08-08,22195.45
2130,2016-08-09,22214.45
2131,2016-08-10,22038.5
