,Date,NIFTY MEDIA
379,2009-07-22,
380,2009-07-23,
381,2009-07-24,
382,2009-07-27,
383,2009-07-28,
384,2009-07-29,
385,2009-07-30,
386,2009-07-31,
387,2009-08-03,
388,2009-08-04,
389,2009-08-05,
390,2009-08-06,
391,2009-08-07,
392,2009-08-10,
393,2009-08-11,
394,2009-08-12,
395,2009-08-13,
396,2009-08-14,
397,2009-08-17,
398,2009-08-18,
399,2009-08-19,
400,2009-08-20,
401,2009-08-21,
402,2009-08-24,
403,2009-08-25,
404,2009-08-26,
405,2009-08-27,
406,2009-08-28,
407,2009-08-31,
408,2009-09-01,
409,2009-09-02,
410,2009-09-03,
411,2009-09-04,
412,2009-09-07,
413,2009-09-08,
414,2009-09-09,
415,2009-09-10,
416,2009-09-11,
417,2009-09-14,
418,2009-09-15,
419,2009-09-16,
420,2009-09-17,
421,2009-09-18,
422,2009-09-22,
423,2009-09-23,
424,2009-09-24,
425,2009-09-25,
426,2009-09-29,
427,2009-09-30,
428,2009-10-01,
429,2009-10-05,
430,2009-10-06,
431,2009-10-07,
432,2009-10-08,
433,2009-10-09,
434,2009-10-12,
435,2009-10-14,
436,2009-10-15,
437,2009-10-16,
438,2009-10-17,
439,2009-10-20,
440,2009-10-21,
441,2009-10-22,
442,2009-10-23,
443,2009-10-26,
444,2009-10-27,
445,2009-10-28,
446,2009-10-29,
447,2009-10-30,
448,2009-11-03,
449,2009-11-04,
450,2009-11-05,
451,2009-11-06,
452,2009-11-09,
453,2009-11-10,
454,2009-11-11,
455,2009-11-12,
456,2009-11-13,
457,2009-11-16,
458,2009-11-17,
459,2009-11-18,
460,2009-11-19,
461,2009-11-20,
462,2009-11-23,
463,2009-11-24,
464,2009-11-25,
465,2009-11-26,
466,2009-11-27,
467,2009-11-30,
468,2009-12-01,
469,2009-12-02,
470,2009-12-03,
471,2009-12-04,
472,2009-12-07,
473,2009-12-08,
474,2009-12-09,
475,2009-12-10,
476,2009-12-11,
477,2009-12-14,
478,2009-12-15,
479,2009-12-16,
480,2009-12-17,
481,2009-12-18,
482,2009-12-21,
483,2009-12-22,
484,2009-12-23,
485,2009-12-24,
486,2009-12-29,
487,2009-12-30,
488,2009-12-31,
489,2010-01-04,
490,2010-01-05,
491,2010-01-06,
492,2010-01-07,
493,2010-01-08,
494,2010-01-11,
495,2010-01-12,
496,2010-01-13,
497,2010-01-14,
498,2010-01-15,
499,2010-01-18,
500,2010-01-19,
501,2010-01-20,
502,2010-01-21,
503,2010-01-22,
504,2010-01-25,
505,2010-01-27,
506,2010-01-28,
507,2010-01-29,
508,2010-02-01,
509,2010-02-02,
510,2010-02-03,
511,2010-02-04,
512,2010-02-05,
513,2010-02-06,
514,2010-02-08,
515,2010-02-09,
516,2010-02-10,
517,2010-02-11,
518,2010-02-15,
519,2010-02-16,
520,2010-02-17,
521,2010-02-18,
522,2010-02-19,
523,2010-02-22,
524,2010-02-23,
525,2010-02-24,
526,2010-02-25,
527,2010-02-26,
528,2010-03-02,
529,2010-03-03,
530,2010-03-04,
531,2010-03-05,
532,2010-03-08,
533,2010-03-09,
534,2010-03-10,
535,2010-03-11,
536,2010-03-12,
537,2010-03-15,
538,2010-03-16,
539,2010-03-17,
540,2010-03-18,
541,2010-03-19,
542,2010-03-22,
543,2010-03-23,
544,2010-03-25,
545,2010-03-26,
546,2010-03-29,
547,2010-03-30,
548,2010-03-31,
549,2010-04-01,
550,2010-04-05,
551,2010-04-06,
552,2010-04-07,
553,2010-04-08,
554,2010-04-09,
555,2010-04-12,
556,2010-04-13,
557,2010-04-15,
558,2010-04-16,
559,2010-04-19,
560,2010-04-20,
561,2010-04-21,
562,2010-04-22,
563,2010-04-23,
564,2010-04-26,
565,2010-04-27,
566,2010-04-28,
567,2010-04-29,
568,2010-04-30,
569,2010-05-03,
570,2010-05-04,
571,2010-05-05,
572,2010-05-06,
573,2010-05-07,
574,2010-05-10,
575,2010-05-11,
576,2010-05-12,
577,2010-05-13,
578,2010-05-14,
579,2010-05-17,
580,2010-05-18,
581,2010-05-19,
582,2010-05-20,
583,2010-05-21,
584,2010-05-24,
585,2010-05-25,
586,2010-05-26,
587,2010-05-27,
588,2010-05-28,
589,2010-05-31,
590,2010-06-01,
591,2010-06-02,
592,2010-06-03,
593,2010-06-04,
594,2010-06-07,
595,2010-06-08,
596,2010-06-09,
597,2010-06-10,
598,2010-06-11,
599,2010-06-14,
600,2010-06-15,
601,2010-06-16,
602,2010-06-17,
603,2010-06-18,
604,2010-06-21,
605,2010-06-22,
606,2010-06-23,
607,2010-06-24,
608,2010-06-25,
609,2010-06-28,
610,2010-06-29,
611,2010-06-30,
612,2010-07-01,
613,2010-07-02,
614,2010-07-05,
615,2010-07-06,
616,2010-07-07,
617,2010-07-08,
618,2010-07-09,
619,2010-07-12,
620,2010-07-13,
621,2010-07-14,
622,2010-07-15,
623,2010-07-16,
624,2010-07-19,
625,2010-07-20,
626,2010-07-21,
627,2010-07-22,
628,2010-07-23,
629,2010-07-26,
630,2010-07-27,
631,2010-07-28,
632,2010-07-29,
633,2010-07-30,
634,2010-08-02,
635,2010-08-03,
636,2010-08-04,
637,2010-08-05,
638,2010-08-06,
639,2010-08-09,
640,2010-08-10,
641,2010-08-11,
642,2010-08-12,
643,2010-08-13,
644,2010-08-16,
645,2010-08-17,
646,2010-08-18,
647,2010-08-19,
648,2010-08-20,
649,2010-08-23,
650,2010-08-24,
651,2010-08-25,
652,2010-08-26,
653,2010-08-27,
654,2010-08-30,
655,2010-08-31,
656,2010-09-01,
657,2010-09-02,
658,2010-09-03,
659,2010-09-06,
660,2010-09-07,
661,2010-09-08,
662,2010-09-09,
663,2010-09-13,
664,2010-09-14,
665,2010-09-15,
666,2010-09-16,
667,2010-09-17,
668,2010-09-20,
669,2010-09-21,
670,2010-09-22,
671,2010-09-23,
672,2010-09-24,
673,2010-09-27,
674,2010-09-28,
675,2010-09-29,
676,2010-09-30,
677,2010-10-01,
678,2010-10-04,
679,2010-10-05,
680,2010-10-06,
681,2010-10-07,
682,2010-10-08,
683,2010-10-11,
684,2010-10-12,
685,2010-10-13,
686,2010-10-14,
687,2010-10-15,
688,2010-10-18,
689,2010-10-19,
690,2010-10-20,
691,2010-10-21,
692,2010-10-22,
693,2010-10-25,
694,2010-10-26,
695,2010-10-27,
696,2010-10-28,
697,2010-10-29,
698,2010-11-01,
699,2010-11-02,
700,2010-11-03,
701,2010-11-04,
702,2010-11-05,
703,2010-11-08,
704,2010-11-09,
705,2010-11-10,
706,2010-11-11,
707,2010-11-12,
708,2010-11-15,
709,2010-11-16,
710,2010-11-18,
711,2010-11-19,
712,2010-11-22,
713,2010-11-23,
714,2010-11-24,
715,2010-11-25,
716,2010-11-26,
717,2010-11-29,
718,2010-11-30,
719,2010-12-01,
720,2010-12-02,
721,2010-12-03,
722,2010-12-06,
723,2010-12-07,
724,2010-12-08,
725,2010-12-09,
726,2010-12-10,
727,2010-12-13,
728,2010-12-14,
729,2010-12-15,
730,2010-12-16,
731,2010-12-20,
732,2010-12-21,
733,2010-12-22,
734,2010-12-23,
735,2010-12-24,
736,2010-12-27,
737,2010-12-28,
738,2010-12-29,
739,2010-12-30,
740,2010-12-31,
741,2011-01-03,
742,2011-01-04,
743,2011-01-05,
744,2011-01-06,
745,2011-01-07,
746,2011-01-10,
747,2011-01-11,
748,2011-01-12,
749,2011-01-13,
750,2011-01-14,
751,2011-01-17,
752,2011-01-18,
753,2011-01-19,
754,2011-01-20,
755,2011-01-21,
756,2011-01-24,
757,2011-01-25,
758,2011-01-27,
759,2011-01-28,
760,2011-01-31,
761,2011-02-01,
762,2011-02-02,
763,2011-02-03,
764,2011-02-04,
765,2011-02-07,
766,2011-02-08,
767,2011-02-09,
768,2011-02-10,
769,2011-02-11,
770,2011-02-14,
771,2011-02-15,
772,2011-02-16,
773,2011-02-17,
774,2011-02-18,
775,2011-02-21,
776,2011-02-22,
777,2011-02-23,
778,2011-02-24,
779,2011-02-25,
780,2011-02-28,
781,2011-03-01,
782,2011-03-03,
783,2011-03-04,
784,2011-03-07,
785,2011-03-08,
786,2011-03-09,
787,2011-03-10,
788,2011-03-11,
789,2011-03-14,
790,2011-03-15,
791,2011-03-16,
792,2011-03-17,
793,2011-03-18,
794,2011-03-21,
795,2011-03-22,
796,2011-03-23,
797,2011-03-24,
798,2011-03-25,
799,2011-03-28,
800,2011-03-29,
801,2011-03-30,
802,2011-03-31,
803,2011-04-01,
804,2011-04-04,
805,2011-04-05,
806,2011-04-06,
807,2011-04-07,
808,2011-04-08,
809,2011-04-11,
810,2011-04-13,
811,2011-04-15,
812,2011-04-18,
813,2011-04-19,
814,2011-04-20,
815,2011-04-21,
816,2011-04-25,
817,2011-04-26,
818,2011-04-27,
819,2011-04-28,
820,2011-04-29,
821,2011-05-02,
822,2011-05-03,
823,2011-05-04,
824,2011-05-05,
825,2011-05-06,
826,2011-05-09,
827,2011-05-10,
828,2011-05-11,
829,2011-05-12,
830,2011-05-13,
831,2011-05-16,
832,2011-05-17,
833,2011-05-18,
834,2011-05-19,
835,2011-05-20,
836,2011-05-23,
837,2011-05-24,
838,2011-05-25,
839,2011-05-26,
840,2011-05-27,
841,2011-05-30,
842,2011-05-31,
843,2011-06-01,
844,2011-06-02,
845,2011-06-03,
846,2011-06-06,
847,2011-06-07,
848,2011-06-08,
849,2011-06-09,
850,2011-06-10,
851,2011-06-13,
852,2011-06-14,
853,2011-06-15,
854,2011-06-16,
855,2011-06-17,
856,2011-06-20,
857,2011-06-21,
858,2011-06-22,
859,2011-06-23,
860,2011-06-24,
861,2011-06-27,
862,2011-06-28,
863,2011-06-29,
864,2011-06-30,
865,2011-07-01,
866,2011-07-04,
867,2011-07-05,
868,2011-07-06,
869,2011-07-07,
870,2011-07-08,
871,2011-07-11,
872,2011-07-12,
873,2011-07-13,
874,2011-07-14,
875,2011-07-15,
876,2011-07-18,
877,2011-07-19,
878,2011-07-20,
879,2011-07-21,
880,2011-07-22,
881,2011-07-25,
882,2011-07-26,
883,2011-07-27,
884,2011-07-28,
885,2011-07-29,
886,2011-08-01,
887,2011-08-02,
888,2011-08-03,
889,2011-08-04,
890,2011-08-05,
891,2011-08-08,
892,2011-08-09,
893,2011-08-10,
894,2011-08-11,
895,2011-08-12,
896,2011-08-16,
897,2011-08-17,
898,2011-08-18,
899,2011-08-19,
900,2011-08-22,
901,2011-08-23,
902,2011-08-24,
903,2011-08-25,
904,2011-08-26,
905,2011-08-29,
906,2011-08-30,
907,2011-09-02,
908,2011-09-05,
909,2011-09-06,
910,2011-09-07,
911,2011-09-08,
912,2011-09-09,
913,2011-09-12,
914,2011-09-13,
915,2011-09-14,
916,2011-09-15,
917,2011-09-16,
918,2011-09-19,
919,2011-09-20,
920,2011-09-21,
921,2011-09-22,
922,2011-09-23,
923,2011-09-26,
924,2011-09-27,
925,2011-09-28,
926,2011-09-29,
927,2011-09-30,
928,2011-10-03,1194.15
929,2011-10-04,1176.0
930,2011-10-05,1158.3
931,2011-10-07,1161.0
932,2011-10-10,1173.7
933,2011-10-11,1207.2
934,2011-10-12,1205.15
935,2011-10-13,1220.45
936,2011-10-14,1203.75
937,2011-10-17,1231.05
938,2011-10-18,1225.35
939,2011-10-19,1215.0
940,2011-10-20,1220.05
941,2011-10-21,1215.65
942,2011-10-24,1209.95
943,2011-10-25,1198.05
944,2011-10-26,1191.95
945,2011-10-28,1210.1
946,2011-10-31,1220.85
947,2011-11-01,1237.95
948,2011-11-02,1229.75
949,2011-11-03,1239.9
950,2011-11-04,1259.35
951,2011-11-08,1271.45
952,2011-11-09,1256.0
953,2011-11-11,1232.65
954,2011-11-14,1217.55
955,2011-11-15,1187.2
956,2011-11-16,1170.9
957,2011-11-17,1166.15
958,2011-11-18,1153.0
959,2011-11-21,1149.7
960,2011-11-22,1123.95
961,2011-11-23,1124.35
962,2011-11-24,1106.95
963,2011-11-25,1144.0
964,2011-11-28,1163.2
965,2011-11-29,1179.4
966,2011-11-30,1187.65
967,2011-12-01,1176.45
968,2011-12-02,1192.15
969,2011-12-05,1212.35
970,2011-12-07,1222.35
971,2011-12-08,1223.4
972,2011-12-09,1185.55
973,2011-12-12,1179.05
974,2011-12-13,1137.35
975,2011-12-14,1143.05
976,2011-12-15,1145.4
977,2011-12-16,1147.3
978,2011-12-19,1128.7
979,2011-12-20,1112.75
980,2011-12-21,1103.45
981,2011-12-22,1098.8
982,2011-12-23,1122.15
983,2011-12-26,1130.3
984,2011-12-27,1133.35
985,2011-12-28,1131.25
986,2011-12-29,1104.45
987,2011-12-30,1114.8
988,2012-01-02,1114.3
989,2012-01-03,1116.0
990,2012-01-04,1147.35
991,2012-01-05,1129.6
992,2012-01-06,1123.45
993,2012-01-07,1115.85
994,2012-01-09,1119.75
995,2012-01-10,1114.15
996,2012-01-11,1131.7
997,2012-01-12,1140.9
998,2012-01-13,1162.8
999,2012-01-16,1177.65
1000,2012-01-17,1189.5
1001,2012-01-18,1176.9
1002,2012-01-19,1175.05
1003,2012-01-20,1174.75
1004,2012-01-23,1158.55
1005,2012-01-24,1154.4
1006,2012-01-25,1166.05
1007,2012-01-27,1195.4
1008,2012-01-30,1217.0
1009,2012-01-31,1198.7
1010,2012-02-01,1221.0
1011,2012-02-02,1255.6
1012,2012-02-03,1243.35
1013,2012-02-06,1268.15
1014,2012-02-07,1271.35
1015,2012-02-08,1257.0
1016,2012-02-09,1237.0
1017,2012-02-10,1272.7
1018,2012-02-13,1296.15
1019,2012-02-14,1288.5
1020,2012-02-15,1303.7
1021,2012-02-16,1335.35
1022,2012-02-17,1326.7
1023,2012-02-21,1304.9
1024,2012-02-22,1309.85
1025,2012-02-23,1261.05
1026,2012-02-24,1246.0
1027,2012-02-27,1266.4
1028,2012-02-28,1209.4
1029,2012-02-29,1234.3
1030,2012-03-01,1233.3
1031,2012-03-02,1258.8
1032,2012-03-03,1278.05
1033,2012-03-05,1277.05
1034,2012-03-06,1280.7
1035,2012-03-07,1252.25
1036,2012-03-09,1261.9
1037,2012-03-12,1270.15
1038,2012-03-13,1259.0
1039,2012-03-14,1275.1
1040,2012-03-15,1280.3
1041,2012-03-16,1248.7
1042,2012-03-19,1210.35
1043,2012-03-20,1203.3
1044,2012-03-21,1194.85
1045,2012-03-22,1232.45
1046,2012-03-23,1218.05
1047,2012-03-26,1216.7
1048,2012-03-27,1212.1
1049,2012-03-28,1216.1
1050,2012-03-29,1200.75
1051,2012-03-30,1223.4
1052,2012-04-02,1239.05
1053,2012-04-03,1268.65
1054,2012-04-04,1297.95
1055,2012-04-09,1268.15
1056,2012-04-10,1243.8
1057,2012-04-11,1225.35
1058,2012-04-12,1225.85
1059,2012-04-13,1213.65
1060,2012-04-16,1199.65
1061,2012-04-17,1207.3
1062,2012-04-18,1222.95
1063,2012-04-19,1227.95
1064,2012-04-20,1223.75
1065,2012-04-23,1205.85
1066,2012-04-24,1192.35
1067,2012-04-25,1188.4
1068,2012-04-26,1197.05
1069,2012-04-27,1186.7
1070,2012-04-28,1187.15
1071,2012-04-30,1197.1
1072,2012-05-02,1204.5
1073,2012-05-03,1215.0
1074,2012-05-04,1205.35
1075,2012-05-07,1181.1
1076,2012-05-08,1200.8
1077,2012-05-09,1179.4
1078,2012-05-10,1171.4
1079,2012-05-11,1161.45
1080,2012-05-14,1152.65
1081,2012-05-15,1142.65
1082,2012-05-16,1144.5
1083,2012-05-17,1146.85
1084,2012-05-18,1134.7
1085,2012-05-21,1140.25
1086,2012-05-22,1150.65
1087,2012-05-23,1130.7
1088,2012-05-24,1128.7
1089,2012-05-25,1134.35
1090,2012-05-28,1140.35
1091,2012-05-29,1141.35
1092,2012-05-30,1135.05
1093,2012-05-31,1126.95
1094,2012-06-01,1151.6
1095,2012-06-04,1107.8
1096,2012-06-05,1113.55
1097,2012-06-06,1119.9
1098,2012-06-07,1148.15
1099,2012-06-08,1176.35
1100,2012-06-11,1194.95
1101,2012-06-12,1177.3
1102,2012-06-13,1184.1
1103,2012-06-14,1173.05
1104,2012-06-15,1175.55
1105,2012-06-18,1183.9
1106,2012-06-19,1156.1
1107,2012-06-20,1178.35
1108,2012-06-21,1180.55
1109,2012-06-22,1192.3
1110,2012-06-25,1195.25
1111,2012-06-26,1205.85
1112,2012-06-27,1231.95
1113,2012-06-28,1255.45
1114,2012-06-29,1246.45
1115,2012-07-02,1267.5
1116,2012-07-03,1282.35
1117,2012-07-04,1292.5
1118,2012-07-05,1299.55
1119,2012-07-06,1312.7
1120,2012-07-09,1307.45
1121,2012-07-10,1291.75
1122,2012-07-11,1276.0
1123,2012-07-12,1276.85
1124,2012-07-13,1272.5
1125,2012-07-16,1281.5
1126,2012-07-17,1280.15
1127,2012-07-18,1271.15
1128,2012-07-19,1283.5
1129,2012-07-20,1287.95
1130,2012-07-23,1293.1
1131,2012-07-24,1295.35
1132,2012-07-25,1301.1
1133,2012-07-26,1321.95
1134,2012-07-27,1300.3
1135,2012-07-30,1278.95
1136,2012-07-31,1289.1
1137,2012-08-01,1325.0
1138,2012-08-02,1327.5
1139,2012-08-03,1332.1
1140,2012-08-06,1315.05
1141,2012-08-07,1323.35
1142,2012-08-08,1360.0
1143,2012-08-09,1343.85
1144,2012-08-10,1333.5
1145,2012-08-13,1352.8
1146,2012-08-14,1364.0
1147,2012-08-16,1373.45
1148,2012-08-17,1382.45
1149,2012-08-21,1366.75
1150,2012-08-22,1373.9
1151,2012-08-23,1362.55
1152,2012-08-24,1342.05
1153,2012-08-27,1337.95
1154,2012-08-28,1340.6
1155,2012-08-29,1322.25
1156,2012-08-30,1306.15
1157,2012-08-31,1322.0
1158,2012-09-03,1310.35
1159,2012-09-04,1310.65
1160,2012-09-05,1351.6
1161,2012-09-06,1368.8
1162,2012-09-07,1394.85
1163,2012-09-08,1387.75
1164,2012-09-10,1400.4
1165,2012-09-11,1386.2
1166,2012-09-12,1377.45
1167,2012-09-13,1397.65
1168,2012-09-14,1393.3
1169,2012-09-17,1440.5
1170,2012-09-18,1448.4
1171,2012-09-20,1464.55
1172,2012-09-21,1493.1
1173,2012-09-24,1456.5
1174,2012-09-25,1458.55
1175,2012-09-26,1463.9
1176,2012-09-27,1476.25
1177,2012-09-28,1514.3
1178,2012-10-01,1565.1
1179,2012-10-03,1593.05
1180,2012-10-04,1587.5
1181,2012-10-05,1635.5
1182,2012-10-08,1597.15
1183,2012-10-09,1567.8
1184,2012-10-10,1566.9
1185,2012-10-11,1539.7
1186,2012-10-12,1537.35
1187,2012-10-15,1550.2
1188,2012-10-16,1541.55
1189,2012-10-17,1552.45
1190,2012-10-18,1611.2
1191,2012-10-19,1616.8
1192,2012-10-22,1595.65
1193,2012-10-23,1565.9
1194,2012-10-25,1563.75
1195,2012-10-26,1539.0
1196,2012-10-29,1497.65
1197,2012-10-30,1480.35
1198,2012-10-31,1497.6
1199,2012-11-01,1543.8
1200,2012-11-02,1544.55
1201,2012-11-05,1559.2
1202,2012-11-06,1570.45
1203,2012-11-07,1572.35
1204,2012-11-08,1571.65
1205,2012-11-09,1582.45
1206,2012-11-12,1547.5
1207,2012-11-13,1549.4
1208,2012-11-15,1568.0
1209,2012-11-16,1643.1
1210,2012-11-19,1606.85
1211,2012-11-20,1600.1
1212,2012-11-21,1579.75
1213,2012-11-22,1607.6
1214,2012-11-23,1623.35
1215,2012-11-26,1656.85
1216,2012-11-27,1667.6
1217,2012-11-29,1662.35
1218,2012-11-30,1701.0
1219,2012-12-03,1683.3
1220,2012-12-04,1701.75
1221,2012-12-05,1746.85
1222,2012-12-06,1746.6
1223,2012-12-07,1774.6
1224,2012-12-10,1744.0
1225,2012-12-11,1724.1
1226,2012-12-12,1690.45
1227,2012-12-13,1707.7
1228,2012-12-14,1701.35
1229,2012-12-17,1714.25
1230,2012-12-18,1730.9
1231,2012-12-19,1794.8
1232,2012-12-20,1777.7
1233,2012-12-21,1774.35
1234,2012-12-24,1754.6
1235,2012-12-26,1791.85
1236,2012-12-27,1789.85
1237,2012-12-28,1758.4
1238,2012-12-31,1757.0
1239,2013-01-01,1772.5
1240,2013-01-02,1799.7
1241,2013-01-03,1820.3
1242,2013-01-04,1836.15
1243,2013-01-07,1827.8
1244,2013-01-08,1819.0
